,name,category,price,reference_price,reference_unit,insert_date,subcategoria
18024,VEGA DEL BARÓN vino blanco verdejo DO Rueda botella 75 cl,,2.19,2.92,l,2023-01-19,vino_blanco
18025,JACK DANIELS whisky tenessee botella 70 cl,alcoholicas,21.49,30.7,l,2023-01-19,destilados_licores
18026,MARTINI vermouth rosso botella 1 lt,alcoholicas,8.99,8.99,l,2023-01-19,destilados_licores
18027,MARTINI vermouth bianco botella 1 lt,alcoholicas,8.99,8.99,l,2023-01-19,destilados_licores
18028,ALTOS DE TAMARON vino tinto roble DO Ribera del Duero botella 75 cl ,,6.75,9.0,l,2023-01-19,vino_tinto
18029,RIBERA DE ALGODOR vino tinto joven DO La Mancha botella 75 cl,,1.45,1.93,l,2023-01-19,vino_tinto
18030,DYC whisky botella 1 lt,alcoholicas,12.59,12.59,l,2023-01-19,destilados_licores
18031,DOUREGAL whisky 5 años botella 70 cl,alcoholicas,8.69,12.41,l,2023-01-19,destilados_licores
18032,VELERO ron añejo botella 70 cl,alcoholicas,5.69,8.13,l,2023-01-19,destilados_licores
18033,ESTEPA licor de anís dulce botella 1 lt,alcoholicas,6.99,6.99,l,2023-01-19,destilados_licores
18034,SEÑORIO DE LOS LLANOS vino tinto crianza DO Valdepeñas botella 75 cl,,2.99,3.99,l,2023-01-19,vino_tinto
18035,BALLANTINES whisky botella 70 cl,alcoholicas,13.19,18.84,l,2023-01-19,destilados_licores
18036,BEEFEATER ginebra london dry botella 70 cl,alcoholicas,14.59,20.84,l,2023-01-19,destilados_licores
18037,SEÑORÍO DE ONDAS vino tinto reserva DO Rioja botella 75 cl,,4.15,5.53,l,2023-01-19,vino_tinto
18038,CAMPO VIEJO vino tinto crianza DO Rioja botella 75 cl,,5.79,7.72,l,2023-01-19,vino_tinto
18039,MAYOR DE CASTILLA vino blanco verdejo DO Rueda botella 75 cl,,3.49,4.65,l,2023-01-19,vino_blanco
18040,JIM BEAM whisky bourbon botella 70 cl,alcoholicas,13.69,19.56,l,2023-01-19,destilados_licores
18041,MALIBU ron de coco botella 70 cl ,alcoholicas,10.99,15.7,l,2023-01-19,destilados_licores
18042,YZAGUIRRE vermouth rojo botella 1 lt,alcoholicas,7.79,7.79,l,2023-01-19,destilados_licores
18043,SEAGRAM'S ginebra botella 70 cl,alcoholicas,17.6,25.14,l,2023-01-19,destilados_licores
18044,FAUSTINO RIVERO vino tinto joven DO rioja botella 75 cl,,3.79,5.05,l,2023-01-19,vino_tinto
18045,PORTIA CRIANZA vino tinto botella 75 cl ,,14.47,19.29,l,2023-01-19,vino_tinto
18046,PEÑASCAL vino rosado de aguja botella 75 cl ,alcoholicas,3.25,4.33,l,2023-01-19,destilados_licores
18047,CAMPO VIEJO vino tinto reserva DO rioja botella 75 cl,,8.55,11.4,l,2023-01-19,vino_tinto
18048,BAJOZ ROBLE TORO vino tinto botella 75 cl ,,4.75,6.33,l,2023-01-19,vino_tinto
18049,FAUSTINO vino tinto gran reserva DO rioja botella 75 cl,,18.75,25.0,l,2023-01-19,vino_tinto
18050,PUERTA DE ALCALÁ vino tinto DO Madrid botella 75 cl,,2.99,3.99,l,2023-01-19,vino_tinto
18051,LA CASTELLANA licor de anís dulce botella 70 cl,alcoholicas,7.89,11.27,l,2023-01-19,destilados_licores
18052,BERONIA vino blanco verdejo DO Rueda botella 75 cl ,,7.65,10.2,l,2023-01-19,vino_blanco
18053,ALVINI vermouth blanco botella 1 lt,alcoholicas,2.49,2.49,l,2023-01-19,destilados_licores
18054,CARDHU whisky 12 años botella 70 cl,alcoholicas,27.99,39.99,l,2023-01-19,destilados_licores
18055,VIÑA ALBALI vino blanco verdejo botella 75 cl ,,3.65,4.87,l,2023-01-19,vino_blanco
