,insert_date,name,avg_price,avg_reference_price,supermarket,reference_unit,subcategoria,category
8835,2021-03,Cuello de cordero,3.11,6.9,mercadona-es,kg,conejo_cordero,carniceria
8836,2021-03,Cuerpos chicos de cangrejo Dimarosa congelados,1435.5,14.5,mercadona-es,kg,marisco,pescaderia
8837,2021-03,Cuerpos grandes de cangrejo Dimarosa congelados,14.74,35.95,mercadona-es,kg,marisco,pescaderia
8838,2021-03,Dados de pavo Hacendado,1.8900000000000001,9.45,mercadona-es,kg,embutidos,carniceria
8839,2021-03,Delicias de fiambre pollo y queso,2.5,8.62,mercadona-es,kg,aves,carniceria
8840,2021-03,Delicias de pollo Hacendado ultracongeladas,2.8999999999999995,5.799999999999999,mercadona-es,kg,elaborados,carniceria
8841,2021-03,Dorada a filetes sin cabeza y sin espina,3.848076923076923,6.950000000000001,mercadona-es,kg,pescado,pescaderia
8842,2021-03,Dorada abierta a la espalda con espinas y con cabeza,3.848076923076923,6.950000000000001,mercadona-es,kg,pescado,pescaderia
8843,2021-03,Dorada abierta en libro sin cabeza y sin espina,3.848076923076923,6.950000000000001,mercadona-es,kg,pescado,pescaderia
8844,2021-03,Dorada limpia con cabeza,3.848076923076923,6.950000000000001,mercadona-es,kg,pescado,pescaderia
8845,2021-03,Dorada sin limpiar,3.848076923076923,6.950000000000001,mercadona-es,kg,pescado,pescaderia
8846,2021-03,Dátiles con bacón La Selva,2.6499999999999995,17.67,mercadona-es,kg,embutidos,carniceria
8847,2021-03,Elaborado de salmón y merluza,2.0,5.5600000000000005,mercadona-es,kg,pescado,pescaderia
8848,2021-03,Embutido surtido oreado,2.45,6.12,mercadona-es,kg,embutidos,carniceria
8849,2021-03,Eneldo,1.15,57.5,mercadona-es,kg,vegetales,verduleria
8850,2021-03,Entrecot de ternera blanca,11.2,22.4,mercadona-es,kg,vacuno,carniceria
8851,2021-03,Entrecot de vacuno angus,10.89,33.0,mercadona-es,kg,vacuno,carniceria
8852,2021-03,Entrecot de vacuno fino añojo,8.45,16.9,mercadona-es,kg,vacuno,carniceria
8853,2021-03,Entrecot de vacuno grueso añojo,10.139999999999999,16.9,mercadona-es,kg,vacuno,carniceria
8854,2021-03,Escalopines de salmón sin espinas,8.2,20.5,mercadona-es,kg,pescado,pescaderia
8855,2021-03,Espinacas,1.6,4.0,mercadona-es,kg,vegetales,verduleria
8856,2021-03,Espinacas cortadas,0.95,3.17,mercadona-es,kg,vegetales,verduleria
8857,2021-03,Espinazo de cerdo,0.72,4.02,mercadona-es,kg,embutidos,carniceria
8858,2021-03,Espinazo de cerdo salado,1.24,3.55,mercadona-es,kg,embutidos,carniceria
8859,2021-03,Espárrago verde fino,1.99,7.96,mercadona-es,kg,vegetales,verduleria
8860,2021-03,Espárrago verde grueso,2.79,9.3,mercadona-es,kg,vegetales,verduleria
8861,2021-03,Fajitas pollo y verduras,3.5,8.75,mercadona-es,kg,aves,carniceria
8862,2021-03,Fiambre de magreta de cerdo adobada cocida,2.19,5.21,mercadona-es,kg,cerdo,carniceria
8863,2021-03,Fiambre de magro de cerdo adobado,3.26,7.25,mercadona-es,kg,cerdo,carniceria
8864,2021-03,Fiambre de pechuga de pavo adobada,3.87,8.6,mercadona-es,kg,elaborados,carniceria
8865,2021-03,Fiambre magro sándwich Hacendado lonchas,1.29,4.3,mercadona-es,kg,embutidos,carniceria
8866,2021-03,Filete de atún,6.74,25.923076923076923,mercadona-es,kg,pescado,pescaderia
8867,2021-03,Filete de salmón,7.200000000000001,18.0,mercadona-es,kg,pescado,pescaderia
8868,2021-03,Filete de vacuno añojo para empanar,4.9,9.8,mercadona-es,kg,vacuno,carniceria
8869,2021-03,Filetes de anchoa Hacendado en aceite de oliva,2.1,38.18,mercadona-es,kg,pescado,pescaderia
8870,2021-03,Filetes de anchoa en aceite de girasol Hacendado,1.65,18.97,mercadona-es,kg,pescado,pescaderia
8871,2021-03,Filetes de anchoa en aceite de oliva Hacendado,1.725,30.75,mercadona-es,kg,pescado,pescaderia
8872,2021-03,Filetes de anchoa en aceite de oliva Hacendado del cantábrico,8.75,54.690000000000005,mercadona-es,kg,pescado,pescaderia
8873,2021-03,Filetes de cerdo empanados,2.56,6.41,mercadona-es,kg,cerdo,carniceria
8874,2021-03,Filetes de cerdo magro jamón,2.55,4.9,mercadona-es,kg,cerdo,carniceria
8875,2021-03,Filetes de dorada,7.200000000000001,18.95,mercadona-es,kg,pescado,pescaderia
8876,2021-03,Filetes de lubina,7.799999999999999,19.5,mercadona-es,kg,pescado,pescaderia
8877,2021-03,Filetes de pavo contramuslo,3.33,5.950000000000001,mercadona-es,kg,aves,carniceria
8878,2021-03,Filetes de sardina ahumada Hacendado en aceite de girasol,1.9499999999999997,30.0,mercadona-es,kg,pescado,pescaderia
8879,2021-03,Filetes de sardina anchoada Hacendado en aceite de girasol,2.875,25.779999999999998,mercadona-es,kg,pescado,pescaderia
8880,2021-03,Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,1.3000000000000003,26.0,mercadona-es,kg,pescado,pescaderia
8881,2021-03,Filetes de ternera blanca,7.11,15.8,mercadona-es,kg,vacuno,carniceria
8882,2021-03,Filetes de trucha,5.22,13.05,mercadona-es,kg,pescado,pescaderia
8883,2021-03,Filetes de vacuno 1ªA añojo,5.007692307692308,10.006153846153847,mercadona-es,kg,vacuno,carniceria
8884,2021-03,Filetes de vacuno 1ªB añojo,4.35,8.7,mercadona-es,kg,vacuno,carniceria
8885,2021-03,Filetes de vacuno al ajillo,4.930000000000001,10.95,mercadona-es,kg,vacuno,carniceria
8886,2021-03,Filetes hígado de cerdo,1.78,3.95,mercadona-es,kg,cerdo,carniceria
8887,2021-03,Filetes hígado de cordero,3.352307692307692,8.9,mercadona-es,kg,conejo_cordero,carniceria
8888,2021-03,Filetes hígado de vacuno añojo,3.75,7.5,mercadona-es,kg,vacuno,carniceria
8889,2021-03,Filetes lomo al ajillo,3.63,7.25,mercadona-es,kg,cerdo,carniceria
8890,2021-03,Filetes lomo de cerdo,2.44,6.09,mercadona-es,kg,cerdo,carniceria
8891,2021-03,Filetes lomo de cerdo cabeza,2.83,5.15,mercadona-es,kg,cerdo,carniceria
8892,2021-03,Filetes lomo de cerdo familiar,5.39,5.99,mercadona-es,kg,cerdo,carniceria
8893,2021-03,Filetes lomo de merluza,6.700000000000001,16.75,mercadona-es,kg,pescado,pescaderia
8894,2021-03,Filetes pechuga de pavo,4.02,6.700000000000001,mercadona-es,kg,aves,carniceria
8895,2021-03,Filetes pechuga de pollo,4.805384615384615,7.392307692307693,mercadona-es,kg,aves,carniceria
8896,2021-03,Filetes pechuga de pollo corte fino,4.05,8.1,mercadona-es,kg,aves,carniceria
8897,2021-03,Filetes pechuga de pollo rural,4.1984615384615385,8.396153846153847,mercadona-es,kg,aves,carniceria
8898,2021-03,Flautas de bacón y queso,1.6,5.799999999999999,mercadona-es,kg,cerdo,carniceria
8899,2021-03,Flautas de pollo y queso,1.6,5.86,mercadona-es,kg,aves,carniceria
8900,2021-03,Floretas de brócoli para micro,1.2,5.22,mercadona-es,kg,vegetales,verduleria
8901,2021-03,Foie gras de pato loncheado,7.450000000000001,49.67,mercadona-es,kg,aves,carniceria
